 Script Name, Automation Percentage,Automation Percentage New
 MERCURY_GOOGLE_MONTHLY_SUBSCRIPTION_LOAD,98,98
 MERCURY_GOOGLE_MONTHLY_TRANSACTION_LOAD,95,
 mercury_grossaddssummary_load3,0,0
 MERCURY_GROSSADDSSUMMARY_LOAD,100,100
 MERCURY_HANDSET_CATEGORY_LOAD,97,97
 MERCURY_HANDSET_LOAD,98,98
 MERCURY_HANDSET_TMO_LAST_USED_DATE_HISTORY_LOAD,98,98
 MERCURY_ICCID_FIRST_ACTIVATION_LOAD,98,98
 MERCURY_INVENTORY_ADJUSTMENTS_LOAD,98,98
 MERCURY_INVENTORY_DAILY_RETIRED_LOAD,98,98
 MERCURY_INVENTORY_DAILY_SCAN,98,98
 MERCURY_INVENTORY_DAILY_SCAN_ERROR,98,98
 MERCURY_INVENTORY_DETAILS_HISTORY_LOAD,100,100
 MERCURY_INVENTORY_DETAIL_STATUS_LOAD,98,
 MERCURY_INVOICE_CANCEL_REASON_LOAD,97,97
 MERCURY_INVOICE_LOAD,98,98
 MERCURY_INVOICE_TYPE_LOAD,97,97
 MERCURY_ITEM_LOAD,97,97
 MERCURY_LERG6_EXPIRERECORDS_BOM,100,100
 MERCURY_LERG6_LOAD,100,100
 MERCURY_LETTER_REQUEST_HISTORY_LOAD,97,97
 MERCURY_LOCATION_LOAD,98,98
 MERCURY_MARKET_LOAD,97,97
 MERCURY_MCAFEE_ENROLLMENT_EXTRACT,100,100
 MERCURY_MCAFEE_ENROLLMENT_EXTRACT_02252021,100,100
 MERCURY_MCAFEE_STATUS_LOAD,99,99
 MERCURY_MDN_INVENTORY_HISTORY_LOAD,98,98
 MERCURY_MDN_RANGE_LOAD,97,97
 MERCURY_MEDALLIA_CORE_SURVEY_LOAD,100,100
 MERCURY_MEDALLIA_CSAT_SURVEY_LOAD,100,100
 MERCURY_MEDALLIA_CSAT_SURVEY_LOAD_TMO,100,100
 MERCURY_MEDALLIA_HIERARCHY_EXTRACT_TEMP_LOAD,100,100
 MERCURY_MEMO_CATEGORY_LOAD,97,97
 MERCURY_MEMO_LOAD,98,98
 MERCURY_MEMO_TYPE_LOAD,97,97
 MERCURY_METRONOW_QPAY_BRANCHID_LOAD,100,100
 MERCURY_MIDAS_DEALER_DOOR_HISTORY_LOAD,100,100
